Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,496.049988,513.349976,496.049988,510.049988,508.258575,14932443
2020-02-04,514.000000,522.599976,503.450012,518.900024,517.077515,14376670
2020-02-05,518.000000,537.500000,515.799988,533.349976,531.476746,30082900
2020-02-06,535.049988,552.799988,534.099976,546.799988,544.879517,16863683
2020-02-07,548.900024,549.000000,538.250000,539.450012,537.555359,8802579
2020-02-10,540.200012,543.650024,536.099976,538.700012,536.807983,8412522
2020-02-11,539.500000,544.650024,532.750000,534.299988,532.423401,6500749
2020-02-12,536.000000,542.349976,535.000000,539.599976,537.704773,5065813
2020-02-13,539.700012,542.750000,531.750000,539.950012,538.053589,5623475
2020-02-14,544.900024,567.549988,534.250000,565.000000,563.015625,36826473
2020-02-17,564.950012,568.700012,556.500000,564.849976,562.866089,22924036
2020-02-18,563.349976,568.849976,537.299988,548.250000,546.324463,21462600
2020-02-19,549.099976,553.599976,538.750000,543.400024,541.491516,21681078
2020-02-20,543.700012,552.000000,538.599976,545.599976,543.683716,15715009
2020-02-24,542.000000,542.049988,527.099976,529.900024,528.038879,9653196
2020-02-25,533.000000,537.950012,530.950012,535.250000,533.370117,9623521
2020-02-26,532.700012,539.400024,520.299988,535.950012,534.067627,18615730
2020-02-27,534.700012,535.849976,527.000000,531.650024,529.782776,11171400
2020-02-28,524.900024,528.400024,513.500000,523.500000,521.661377,16622086
2020-03-02,534.000000,536.000000,511.850006,518.349976,516.529419,9910097
2020-03-03,524.000000,533.349976,514.150024,520.799988,518.970825,10368929
2020-03-04,525.000000,532.799988,507.399994,516.750000,514.935059,17733434
2020-03-05,522.799988,530.700012,516.650024,526.900024,525.049438,14080598
2020-03-06,517.750000,523.650024,511.450012,519.150024,517.326660,9328722
2020-03-09,510.000000,512.000000,491.049988,496.250000,494.507080,15375556
2020-03-11,487.000000,508.500000,487.000000,493.799988,492.065674,21007582
2020-03-12,478.500000,481.500000,459.200012,464.950012,463.317017,14204409
2020-03-13,453.799988,509.049988,420.000000,491.850006,490.122528,23807314
2020-03-16,472.250000,492.950012,456.149994,464.799988,463.167511,14661016
2020-03-17,465.000000,481.000000,444.350006,454.700012,453.103027,12396957
2020-03-18,460.000000,478.799988,407.450012,425.549988,424.055359,28801933
2020-03-19,416.450012,451.649994,361.750000,444.750000,443.187958,23574623
2020-03-20,445.000000,472.000000,436.649994,462.649994,461.025085,19394829
2020-03-23,416.399994,445.700012,399.500000,407.350006,405.919312,14632657
2020-03-24,410.899994,437.850006,400.149994,404.049988,402.630890,12709240
2020-03-25,406.549988,438.250000,405.600006,429.100006,427.592926,13833466
2020-03-26,426.500000,493.450012,420.250000,470.700012,469.046814,21891559
2020-03-27,470.700012,474.799988,437.500000,448.950012,447.373199,16076572
2020-03-30,443.850006,449.299988,428.000000,431.049988,429.536041,10022553
2020-03-31,441.000000,447.000000,424.000000,440.899994,439.351471,16745069
2020-04-01,440.000000,440.000000,412.399994,421.350006,419.870148,9469123
2020-04-03,432.000000,432.000000,415.600006,423.950012,422.460999,14153710
2020-04-07,433.149994,485.750000,433.149994,470.200012,468.548584,15266903
2020-04-08,474.350006,491.100006,453.000000,461.649994,460.028595,13387974
2020-04-09,471.000000,492.299988,471.000000,488.700012,486.983612,11742367
2020-04-13,491.000000,520.900024,491.000000,512.200012,510.401062,23966578
2020-04-15,533.950012,535.950012,505.049988,510.500000,508.707031,25792855
2020-04-16,500.000000,513.000000,497.350006,500.450012,498.692322,17080435
2020-04-17,511.000000,512.500000,498.200012,502.450012,500.685303,16127523
2020-04-20,507.700012,507.700012,486.899994,490.299988,488.577942,11473101
2020-04-21,484.000000,503.799988,479.149994,500.500000,498.742157,15490855
2020-04-22,516.000000,517.049988,492.049988,501.399994,499.638977,18107595
2020-04-23,501.850006,507.299988,491.049988,496.000000,494.257935,12532066
2020-04-24,494.899994,499.000000,484.450012,494.250000,492.514099,11937738
2020-04-27,498.049988,503.049988,491.100006,494.049988,492.314789,9888710
2020-04-28,497.450012,497.450012,484.100006,485.649994,483.944305,11512936
2020-04-29,490.950012,498.399994,487.049988,496.000000,494.257935,8217429
2020-04-30,503.100006,515.950012,495.200012,514.299988,512.493652,19799159
2020-05-04,502.450012,540.000000,499.899994,532.500000,530.629761,34019449
2020-05-05,538.000000,553.700012,526.049988,528.049988,526.195374,29936905
2020-05-06,531.750000,551.450012,530.049988,546.000000,544.082336,25594154
2020-05-07,545.349976,545.349976,524.450012,528.049988,526.195374,15532117
2020-05-08,540.000000,545.799988,528.299988,530.049988,528.188354,13592411
2020-05-11,533.049988,548.500000,532.099976,536.200012,534.316772,14223754
2020-05-12,533.000000,564.000000,530.500000,559.849976,557.883667,22616585
2020-05-13,568.400024,569.750000,549.299988,555.950012,553.997375,21113369
2020-05-14,551.099976,562.500000,535.099976,539.849976,537.953918,13180860
2020-05-15,543.500000,556.900024,539.400024,554.099976,552.153870,14486140
2020-05-18,556.900024,559.000000,535.200012,538.049988,536.160217,21586050
2020-05-19,558.500000,603.500000,557.000000,598.799988,596.696899,71908985
