Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2179.949951,2179.949951,2149.199951,2157.649902,2090.509277,2380752
2020-01-03,2164.000000,2223.000000,2164.000000,2200.649902,2132.171387,4655761
2020-01-06,2205.000000,2225.949951,2187.899902,2200.449951,2131.977783,3023209
2020-01-07,2200.500000,2214.649902,2183.800049,2205.850098,2137.209717,2429317
2020-01-08,2205.000000,2260.000000,2202.050049,2255.250000,2185.072266,5197454
2020-01-09,2248.750000,2251.949951,2210.000000,2214.350098,2145.445313,3734173
2020-01-10,2228.000000,2234.000000,2208.000000,2213.550049,2144.670166,1915807
2020-01-13,2217.850098,2218.949951,2184.699951,2190.350098,2122.191895,2843893
2020-01-14,2195.000000,2229.800049,2195.000000,2206.899902,2138.226807,2948452
2020-01-15,2213.000000,2231.000000,2194.199951,2226.899902,2157.604492,2620681
2020-01-16,2226.949951,2249.000000,2215.000000,2238.800049,2169.134521,3117214
2020-01-17,2240.750000,2253.550049,2213.000000,2219.100098,2150.047363,3281059
2020-01-20,2194.899902,2242.199951,2156.199951,2170.350098,2102.814453,5817599
2020-01-21,2169.949951,2186.550049,2158.050049,2171.050049,2103.492676,1902980
2020-01-22,2181.000000,2210.000000,2173.699951,2206.899902,2138.226807,1773686
2020-01-23,2209.800049,2217.750000,2183.699951,2190.949951,2127.593994,2069866
2020-01-24,2190.949951,2190.949951,2170.000000,2183.399902,2120.261963,1319430
2020-01-27,2189.699951,2193.449951,2165.000000,2169.250000,2106.521240,1549101
2020-01-28,2174.000000,2187.800049,2152.000000,2183.750000,2120.601807,1743024
2020-01-29,2185.000000,2186.949951,2150.000000,2154.600098,2092.294922,2306761
2020-01-30,2160.000000,2165.000000,2125.000000,2137.850098,2076.029541,2098567
2020-01-31,2139.399902,2144.350098,2071.600098,2079.050049,2018.929932,3287223
2020-02-03,2152.000000,2194.699951,2093.199951,2102.500000,2041.701416,4728073
2020-02-04,2129.000000,2136.699951,2086.600098,2107.750000,2046.799805,3509339
2020-02-05,2115.000000,2156.699951,2104.300049,2146.550049,2084.478027,2439322
2020-02-06,2145.000000,2174.199951,2115.500000,2128.350098,2066.804443,2640065
2020-02-07,2139.000000,2151.000000,2119.000000,2136.550049,2074.766846,2083442
2020-02-10,2140.899902,2167.000000,2119.000000,2161.949951,2099.432373,2383032
2020-02-11,2163.000000,2174.800049,2147.600098,2153.399902,2091.129639,1335820
2020-02-12,2151.100098,2185.000000,2150.000000,2170.750000,2107.977539,1620407
2020-02-13,2172.949951,2197.000000,2171.000000,2191.949951,2128.565186,1645948
2020-02-14,2188.000000,2212.000000,2171.000000,2184.199951,2121.039063,1500115
2020-02-17,2196.949951,2217.000000,2190.199951,2203.250000,2139.538086,1774724
