Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,246.600006,249.899994,246.350006,248.300003,244.311890,1443966
2020-01-03,249.500000,252.699997,247.350006,251.100006,247.066925,3381404
2020-01-06,251.000000,254.449997,250.149994,252.149994,248.100037,4566695
2020-01-07,253.250000,256.350006,250.199997,255.199997,251.101074,4402787
2020-01-08,254.000000,256.149994,252.550003,254.800003,250.707489,2794410
2020-01-09,254.250000,256.500000,252.649994,253.649994,249.575958,2495023
2020-01-10,253.949997,255.199997,251.000000,251.750000,247.706482,2056577
2020-01-13,254.000000,257.899994,252.850006,254.800003,250.707489,6963599
2020-01-14,256.850006,258.350006,254.550003,257.200012,253.068985,7296777
2020-01-15,254.000000,256.000000,246.600006,248.250000,244.262711,10140451
2020-01-16,248.000000,252.600006,247.000000,250.449997,246.427368,8811836
2020-01-17,252.000000,253.899994,249.649994,251.100006,247.066925,4140818
2020-01-20,250.800003,250.800003,247.199997,248.000000,244.016708,1908583
2020-01-21,247.899994,248.199997,246.000000,247.100006,243.131165,1507942
2020-01-22,248.600006,251.949997,245.399994,245.850006,241.901245,3400424
2020-01-23,246.449997,249.100006,245.350006,248.699997,244.705475,1696544
2020-01-24,248.649994,249.449997,246.250000,247.600006,244.606689,1710777
2020-01-27,247.899994,247.899994,244.750000,245.350006,242.383896,1653497
2020-01-28,245.899994,246.100006,241.800003,244.050003,241.099594,2136181
2020-01-29,244.600006,247.399994,243.250000,246.750000,243.766953,2004689
2020-01-30,247.600006,247.600006,240.199997,240.699997,237.790100,2147465
2020-01-31,238.000000,239.149994,235.000000,236.800003,233.937241,5553638
2020-02-03,237.699997,240.149994,235.250000,237.399994,234.529984,4231830
2020-02-04,239.000000,241.250000,237.899994,240.250000,237.345535,3164756
2020-02-05,241.600006,243.000000,237.300003,242.250000,239.321350,3875603
2020-02-06,242.750000,245.949997,241.649994,243.649994,240.704437,3056198
2020-02-07,247.000000,247.000000,242.949997,243.949997,241.000809,2759512
2020-02-10,245.399994,245.649994,239.449997,240.899994,237.987671,2258996
2020-02-11,240.550003,242.899994,239.800003,241.250000,238.333435,2730310
2020-02-12,241.699997,247.149994,241.699997,244.449997,241.494751,3419400
2020-02-13,245.800003,245.800003,242.500000,243.750000,240.803223,2414955
2020-02-14,243.800003,245.350006,242.000000,242.899994,239.963501,1809793
